"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PROD_ID";"SF_ID";"SF_SKU";"SPICEMODEL";"SPICEPREFIX";"VALUE";
"1";"";"CONN_05X2PTH";"2X5";"GPIO";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"CONN-08499";"PRT-0778";"";"";"";"";
"3";"0.1uF";"C-USC0603";"C0603";"C7, C12, C14";"CAPACITOR, American symbol";"";"";"";"";"C0603C103J1RACTU";"";"07X0751";"";"";"";"";"";"";"";"C";"";
"1";"1.0uF";"C-USC0603";"C0603";"C1";"CAPACITOR, American symbol";"";"";"";"";"C1608X5R1E105K080AC";"";"90R7677";"";"";"";"";"";"";"";"C";"";
"1";"100";"4R-N0603-ARC";"0603-ARC";"RN2";"Array Chip Resistor";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";"";"";"";
"1";"105017-0001";"105017-0001";"MOLEX_105017-0001";"J3";"";"Unavailable";" Conn USB Type B M 5 POS 0.65mm Solder RA Thru-Hole 5 Terminal 1 Port Embossed T/R ";"Molex";"105017-0001";"";"";"";"None";"";"None";"";"";"";"";"";"";
"2";"10K";"4R-N0603-ARC";"0603-ARC";"RN1, RN3";"Array Chip Resistor";"";"";"";"";"EXB-V8V103JV";"unknown";"65T8998";"";"";"";"";"";"";"";"";"";
"1";"10nF";"C-USC0603";"C0603";"C4";"CAPACITOR, American symbol";"";"";"";"";"C0603C103K1RACTU";"";"29T8974";"";"";"";"";"";"";"";"C";"";
"2";"15pF";"C-USC0603";"C0603";"C2, C3";"CAPACITOR, American symbol";"";"";"FARNELL";"";"CC0402JRNPO9BN150";"";"69C9582";"";"";"";"";"";"";"";"C";"";
"2";"1K";"R";"R0805";"R9, R10";"RESISTOR, European symbol";"";"";"";"";"EXB-V8V103JV";"";"65T8998";"";"";"";"";"";"";"NONE";"R";"";
"1";"1M";"R-US_R0603";"R0603";"R2";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"77";"";"";"";"";"";"R";"";
"3";"330R";"R";"R0805";"R1, R4, R8";"RESISTOR, European symbol";"";"";"";"";"ERJ-6GEYJ331V";"";"65T8817";"";"";"";"";"";"";"NONE";"R";"";
"1";"470";"R";"R0805";"R7";"RESISTOR, European symbol";"";"";"";"";"ERJ-6GEYJ471V";"";"65T8826";"";"";"";"";"";"";"NONE";"R";"";
"2";"47uF";"47UF-POLAR-PANASONIC_D-35V-20%";"PANASONIC_D";"C10, C11";"47ÂµF polarized capacitors";"";"";"";"";"EEE-1CA470WR";"";"53W3779";"";"";"";"CAP-08478";"";"";"";"";"47uF";
"1";"ARDUINOR3-DIMENSION";"ARDUINOR3-DIMENSION";"ARDUINOR3";"U2";"This is a new object for the new Arduino R3 - with extra pins that you may want to use (such as IOref, and duplicated A4/A5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"FA-128";"FA-128";"FA-128";"Q2";"MHz RANGE CRYSTAL UNIT";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";
"1";"FT232RL";"FT232RLSSOP";"SSOP28DB";"U4";"FT232RL USB UART";"";"";"";"";"FT232RL-REEL";"";"91K9918";"";"";"";"IC-00870";"";"";"";"";"FT232RL";
"1";"FUSE0603";"FUSE0603";"R0603";"FUSE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"GRN";"LEDCHIP-LED0603";"CHIP-LED0603";"D13, PWR, RX1, TX1";"LED";"";"";"";"";"HSME-C191";"";"05M0345";"";"";"";"";"";"";"";"";"";
"1";"ICSP";"CONN_03X2FEMALE";"2X3";"J4";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"CONN-11566";"";"";"";"";"FEMALE 2x3";
"1";"LMV358";"LMV358SOIC";"SO08";"U9";"IC LMV358 DUAL OP AMP";"";"";"FAIRCHILD SEMICONDUCTOR";"";"LMV358AM8X";"";"29H0537";"";"";"";"IC-09657";"";"";"";"";"LMV358";
"1";"LP2985-33DBVR";"LP2985-33DBVR";"SOT95P280X145-5N";"U1";"LP2985 150-mA Low-noise Low-dropout Regulator With Shutdown";"Good";" Single Output LDO, 150mA, Fixed_3.3V_, 1.5% Tolerance, Low Quiescent Current, Low Noise 5-SOT-23 -40 to 125 ";"TEXAS INSTRUMENTS";"LP2985-33DBVR";"LP2985-33DBVR";"";"43J9346";"SOT-23-5 Texas Instruments";"";"0.39 USD";"";"";"";"";"";"";
"1";"M7";"M7";"DIOM505270X240";"D2";"none";"Unavailable";" ";"";"M7";"RFN1LAM7STFTR";"";"58AC3694";"DO-214 Diodes Inc.";"";"0.01 USD";"";"";"";"";"";"";
"4";"MOMENTARY-SWITCH-SPST-SMD-5.2-REDUNDANT";"MOMENTARY-SWITCH-SPST-SMD-5.2-REDUNDANT";"TACTILE_SWITCH_SMD_5.2MM";"S1, S2, S3, S4";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"TL3301AF160QG";"";"15N4497";"";"";"";"SWCH-08247";"";"COM-08720";"";"";"";
"1";"NCP1117";"NCP1117";"SOT223";"U8";"";"Unavailable";" ";"ON SEMICONDUCTOR";"NCP1117";"NCP1117ST50T3G";"";"71J6563";"None";"";"None";"";"";"";"";"";"";
"1";"PIC18F4550_40";"PIC18F4550_40";"DIL40";"16F877A";"USB Microcontrollers with nanoWatt Technology High-Performance, Enhanced Flash, 28/40/44-Pin,";"";"";"MICROCHIP";"";"PIC18F4550-I/P";"9321357";"74K8623";"";"";"";"";"";"";"";"";"";
"1";"POWER";"CONN_03X2FEMALE";"2X3";"J5";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"CONN-11566";"";"";"";"";"FEMALE 2x3";
"1";"POWER_JACK";"POWER_JACK";"POWER_JACK_PTH";"J8";"Power Jack Connector";"";"";"";"";"FC681465P";"";"20T2054";"";"";"";"CONN-08197";"";"";"";"";"";
"1";"SMD-MOSFET-P-CH-20V-2A(SOT-23)";"SMD-MOSFET-P-CH-20V-2A(SOT-23)";"SOT-23";"Q3";"305030026";"Good";" Single P-Channel 20V 70 mOhm Logic Level PowerTrench Mosfet SSOT-3 ";"FAIRCHILD SEMICONDUCTOR";"FDN340P";"FDN340P";"";"58K8841";"SC-59 ON Semiconductor";"";"0.19 USD";"";"";"";"";"";"";
